Date,Adj Close
2005-02-01,99925.19685999534
2005-02-02,99049.50199683593
2005-02-03,98520.37285983734
2005-02-04,98729.20326888733
2005-02-07,98824.74704539948
2005-02-08,99927.5041215974
2005-02-09,100392.80507069408
2005-02-10,100940.07736664593
2005-02-11,100484.35362797558
2005-02-14,101157.39476376354
2005-02-15,101136.47612219631
2005-02-16,101425.74978810131
2005-02-17,101614.71697836697
2005-02-18,101326.85619431316
2005-02-22,102185.81494265377
2005-02-23,101977.0508691365
2005-02-24,102198.58993115966
2005-02-25,102492.59093251769
2005-02-28,101872.89196935241
2005-03-01,102021.32792726104
2005-03-02,101347.42187944
2005-03-03,101201.89409537826
2005-03-04,100447.14597911795
2005-03-07,100747.77894611319
2005-03-08,101190.81579418143
2005-03-09,100870.2155544277
2005-03-10,101763.73995799979
2005-03-11,101990.20245857199
2005-03-14,102573.69402141531
2005-03-15,102876.98318405112
2005-03-16,103214.64614982565
2005-03-17,103458.97363967856
2005-03-18,103317.04963226279
2005-03-21,103041.33330841025
2005-03-22,103617.08373565634
2005-03-23,103538.19125766715
2005-03-24,103536.76018733939
2005-03-28,103401.1463073213
2005-03-29,102798.09581917702
2005-03-30,103650.85807579933
2005-03-31,103233.42449253975
2005-04-01,102717.87547367989
2005-04-04,102779.56105803157
2005-04-05,103399.78255119237
2005-04-06,103492.26294746312
2005-04-07,103112.9523977271
2005-04-08,101772.74094524297
2005-04-11,101761.91876449499
2005-04-12,101114.63488807592
2005-04-13,100806.4606491247
2005-04-14,100812.5669199148
2005-04-15,100194.45980917285
2005-04-18,101607.66567598651
2005-04-19,101951.6125744469
2005-04-20,103373.1771019585
2005-04-21,102713.08709322284
2005-04-22,102453.01897182157
2005-04-25,102570.29489936521
2005-04-26,102642.94122638395
2005-04-27,104789.7562011688
2005-04-28,104571.02908744504
2005-04-29,104050.2090772598
2005-05-02,104341.88494434049
2005-05-03,104191.82283725431
2005-05-04,105396.5836618855
2005-05-05,106434.66973576092
2005-05-06,106041.74613461041
2005-05-09,105779.96477016949
2005-05-10,104901.57697948956
2005-05-11,104453.49989971661
2005-05-12,103088.6027735188
2005-05-13,103766.80576691174
2005-05-16,103841.90921959424
2005-05-17,101851.76821789288
2005-05-18,101808.57635884164
2005-05-19,102249.19604925989
2005-05-20,101899.26711168686
2005-05-23,101236.04910126129
2005-05-24,101172.50714674393
2005-05-25,102014.69817295471
2005-05-26,102746.4443396608
2005-05-27,102185.60561790863
2005-05-31,103068.9571017305
2005-06-01,104225.04162826935
2005-06-02,103894.03468790451
2005-06-03,102134.99494829575
2005-06-06,101849.78332367339
2005-06-07,102581.597871689
2005-06-08,102994.45588722626
2005-06-09,103100.41791429916
2005-06-10,101978.62411013046
2005-06-13,100975.995772805
2005-06-14,101489.29725166509
2005-06-15,102777.70576044271
2005-06-16,102770.05188032339
2005-06-17,101578.41907211492
2005-06-20,101678.92223735998
2005-06-21,102356.94402548025
2005-06-22,101731.54419037054
2005-06-23,101701.43048092077
2005-06-24,101868.92686315725
2005-06-27,101001.50576873968
2005-06-28,101723.31184049795
2005-06-29,103416.44370313833
2005-06-30,104690.8558468456
2005-07-01,104514.60040809863
2005-07-05,103504.14040367446
2005-07-06,103571.46722118698
2005-07-07,103218.41829716427
2005-07-08,103891.16427170498
2005-07-11,104498.73696552975
2005-07-12,103589.17013203366
2005-07-13,102241.10482107168
2005-07-14,101889.60914723862
2005-07-15,102874.41630761612
2005-07-18,102978.45181100357
2005-07-19,104523.20610730637
2005-07-20,103895.29578130234
2005-07-21,104221.26305692185
2005-07-22,105370.54958837021
2005-07-25,106226.22414128769
2005-07-26,105455.45645062912
2005-07-27,103291.29648892868
2005-07-28,104029.4216342804
2005-07-29,102896.68882044526
2005-08-01,103464.97776564331
2005-08-02,103632.84814413758
2005-08-03,100665.37734183045
2005-08-04,100010.52377264082
2005-08-05,100554.96942083418
2005-08-08,99882.79231969893
2005-08-09,100744.6608003813
2005-08-10,100188.27981512129
2005-08-11,100917.77035085738
2005-08-12,102125.98519460738
2005-08-15,102093.9503568846
2005-08-16,102176.38686029494
2005-08-17,102105.7905201155
2005-08-18,101893.97014276564
2005-08-19,101823.14252607405
2005-08-22,101688.11959592879
2005-08-23,101744.40975420058
2005-08-24,102099.45996801436
2005-08-25,102618.71101324141
2005-08-26,102863.0181183058
2005-08-29,103206.61362974226
2005-08-30,103872.41352312148
2005-08-31,104239.86756937086
2005-09-01,102651.50748483717
2005-09-02,102150.73413126051
2005-09-06,100674.1033691603
2005-09-07,100836.36410562575
2005-09-08,100203.28479139387
2005-09-09,100991.38469375896
2005-09-12,101429.02785743999
2005-09-13,101760.47348560618
2005-09-14,102164.79769195842
2005-09-15,102070.38919128703
2005-09-16,102110.77991070079
2005-09-19,102763.41644253062
2005-09-20,102638.48518719005
2005-09-21,102484.50621856975
2005-09-22,103762.76436771678
2005-09-23,104336.92085899638
2005-09-26,105214.06698574351
2005-09-27,105568.9855343275
2005-09-28,105489.97493698908
2005-09-29,105275.60851956665
2005-09-30,105805.31575776398
2005-10-03,106431.74672497828
2005-10-04,105874.57340754587
2005-10-05,105452.09674347956
2005-10-06,105524.47842415547
2005-10-07,105486.78804787374
2005-10-10,105700.5216294167
2005-10-11,106352.32617291188
2005-10-12,106197.36933144307
2005-10-13,106894.63596113896
2005-10-14,107312.4576664803
2005-10-17,108352.74980992287
2005-10-18,107422.78967160195
2005-10-19,108162.50834864586
2005-10-20,109139.20271223992
2005-10-21,108751.47736376732
2005-10-24,108936.93168992012
2005-10-25,109079.05012625664
2005-10-26,108709.05065936058
2005-10-27,109193.89969638817
2005-10-28,108900.39021134078
2005-10-31,109046.58051509553
2005-11-01,108637.55683835343
2005-11-02,108207.80615223097
2005-11-03,109071.8636864488
2005-11-04,109399.48315704512
2005-11-07,109335.7016218965
2005-11-08,109086.77422798323
2005-11-09,109372.0268809969
2005-11-10,109087.483343857
2005-11-11,109772.21078183003
2005-11-14,109754.3879230196
2005-11-15,110368.45708538838
2005-11-16,110334.6310985262
2005-11-17,109902.5597350771
2005-11-18,109443.40466477223
2005-11-21,109368.72746064015
2005-11-22,109211.48105885334
2005-11-23,108095.87074162312
2005-11-25,108673.59187294789
2005-11-28,109731.73395230122
2005-11-29,109733.40646244831
2005-11-30,109596.75165154286
2005-12-01,110679.25430561848
2005-12-02,110831.0412794851
2005-12-05,110861.37247722375
2005-12-06,110575.72308032739
2005-12-07,110640.2086207174
2005-12-08,110691.41498534905
2005-12-09,110998.97020786034
2005-12-12,111589.95588844048
2005-12-13,112701.12458293664
2005-12-14,112992.14771144616
2005-12-15,112393.28578918206
2005-12-16,112991.57187812554
2005-12-19,112829.85183685052
2005-12-20,112573.83815353143
2005-12-21,112569.01773517358
2005-12-22,112857.99336593377
2005-12-23,113549.22445075738
2005-12-27,113498.71821798841
2005-12-28,112852.60127274842
2005-12-29,113269.69587924493
2005-12-30,113156.42803051484
2006-01-03,111863.87169315827
2006-01-04,112196.75627575058
2006-01-05,113108.86057979673
2006-01-06,113508.31009633154
2006-01-09,115027.92422301382
2006-01-10,115783.49351842016
2006-01-11,116261.47501284689
2006-01-12,115881.50003463835
2006-01-13,115585.23122889608
2006-01-17,116149.52045805067
2006-01-18,115495.830121108
2006-01-19,115827.4817527017
2006-01-20,116621.50823439856
2006-01-23,115423.49265046424
2006-01-24,115533.93185086554
2006-01-25,115793.68255753821
2006-01-26,116919.34109826392
2006-01-27,116890.93726105994
2006-01-30,116868.54527135199
2006-01-31,116386.70910497016
2006-02-01,116676.1262735874
2006-02-02,117541.07384152716
2006-02-03,117536.72974438971
2006-02-06,116680.95060487097
2006-02-07,115881.86783951975
